timestamp,log_type,message
0,Log,150
0,Log,150
0,Log,150
0,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0,Log,150
0,Log,Loaded: H:\pendulums\P01_participant_list.csv
0.02,Log,150
0.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.02,Log,150
0.04,Log,150
0.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.04,Log,150
0.06,Log,150
0.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.06,Log,150
0.08,Log,150
0.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.08,Log,150
0.09999999,Log,150
0.09999999,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.09999999,Log,150
0.12,Log,150
0.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.12,Log,150
0.14,Log,150
0.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.14,Log,150
0.16,Log,150
0.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.16,Log,150
0.18,Log,150
0.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.18,Log,150
0.2,Log,150
0.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.2,Log,150
0.22,Log,150
0.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.22,Log,150
0.24,Log,150
0.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.24,Log,150
0.26,Log,150
0.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.26,Log,150
0.28,Log,150
0.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.28,Log,150
0.3,Log,150
0.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.3,Log,150
0.32,Log,150
0.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.32,Log,150
0.34,Log,150
0.34,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.34,Log,150
0.36,Log,150
0.36,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.36,Log,150
0.38,Log,150
0.38,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.38,Log,150
0.4,Log,150
0.4,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.4,Log,150
0.42,Log,150
0.42,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.42,Log,150
0.44,Log,150
0.44,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.44,Log,150
0.46,Log,150
0.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.46,Log,150
0.48,Log,150
0.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.48,Log,150
0.5,Log,150
0.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.5,Log,150
0.52,Log,150
0.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.52,Log,150
0.54,Log,150
0.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.54,Log,150
0.56,Log,150
0.56,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.56,Log,150
0.58,Log,150
0.58,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.58,Log,150
0.6,Log,150
0.6,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.6,Log,150
0.62,Log,150
0.62,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.62,Log,150
0.64,Log,150
0.64,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.64,Log,150
0.66,Log,150
0.66,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.66,Log,150
0.68,Log,150
0.68,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.68,Log,150
0.7,Log,150
0.7,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.7,Log,150
0.72,Log,150
0.72,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.72,Log,150
0.74,Log,150
0.74,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.74,Log,150
0.76,Log,150
0.76,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.76,Log,150
0.78,Log,150
0.78,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.78,Log,150
0.8,Log,150
0.8,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.8,Log,150
0.82,Log,150
0.82,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.82,Log,150
0.84,Log,150
0.84,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.84,Log,150
0.86,Log,150
0.86,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.86,Log,150
0.88,Log,150
0.88,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.88,Log,150
0.9,Log,150
0.9,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.9,Log,150
0.92,Log,150
0.92,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.92,Log,150
0.94,Log,150
0.94,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.94,Log,150
0.96,Log,150
0.96,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.96,Log,150
0.98,Log,150
0.98,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
0.98,Log,150
1,Log,150
1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1,Log,150
1.02,Log,150
1.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.02,Log,150
1.04,Log,150
1.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.04,Log,150
1.06,Log,150
1.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.06,Log,150
1.08,Log,150
1.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.08,Log,150
1.1,Log,150
1.1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.1,Log,150
1.12,Log,150
1.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.12,Log,150
1.14,Log,150
1.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.14,Log,150
1.16,Log,150
1.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.16,Log,150
1.18,Log,150
1.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.18,Log,150
1.2,Log,150
1.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.2,Log,150
1.22,Log,150
1.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.22,Log,150
1.24,Log,150
1.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.24,Log,150
1.26,Log,150
1.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.26,Log,150
1.28,Log,150
1.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.28,Log,150
1.3,Log,150
1.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.3,Log,150
1.32,Log,150
1.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.
1.32,Log,150
1.34,Log,150
